"序号","项目编号","货号","检测服务产品名称/检测内容","签收要求","审核要求","流转要求","流转数量","备注"
"187","RSKY2025049","LK512","myChoice HRD Plus","/","/","路径a","/","/"
"188","RSKY2025051","LK291","OncoScreen® Plus组织版","/","/","路径a","/","/"
"189","RSKY2025052","LK361","PD-L1(22c3)","/","/","路径a","/","/"
"190","RSKY2026001","LK291","OncoScreen® Plus组织版","/","/","路径a","/","/"
"191","RSKY2026001","LK167","燃石朗清®血浆版","/","/","路径a","/","/"
"192","RSKY2026001","LK361","PD-L1(22c3)","/","/","路径a","/","/"
"193","RSKY2026002","LK291","OncoScreen® Plus组织版","/","/","路径a","/","/"
"194","RSKY2026002","LK361","PD-L1(22c3)","/","/","路径a","/","/"
"195","RSKY2026004","LK521","OncoScreen® WES","/","/","路径a","/","/"
"196","RSKY2026004","LK522","朗微®-MRD","/","/","路径a","/","/"
"197","RSKY2026007","LK301","","/","/","路径a","/",""
"198","RSPL2021002","LK291","OncoScreen® Plus组织版","/","/","路径a","/","/"
"199","RSPL2021002","LK292","OncoCompass® Plus血浆版","/","/","路径a","/","/"
"200","RSPL2021002","LK170","燃石朗清®组织版","/","/","路径a","/","/"
"201","RSPL2021002","LK167","燃石朗清®血浆版","/","/","路径a","/","/"
"202","RSPL2021002","LK521","OncoScreen® WES","/","/","路径a","/","/"
"203","RSPL2021002","LK522","朗微®-MRD","/","/","路径a","/","/"
"204","RSPL2021002","LK101","燃石朗克®组织版","/","/","路径a","/","/"
"205","RSPL2021002","LK176","燃石朗清®血浆版UMI","/","/","路径a","/","/"
"206","RSPL2024002","LK206","燃石馥康®血浆版","/","按临检要求","路径a","/","无SSP"
"207","RSPL2024005","LK521","OncoScreen® WES","/","出报告","路径a","/","无SSP"
"208","RSPL2024005","LK340","捕获转录组测序(Capture-WTS)","/","不出报告","路径a","/","无SSP"
"209","RSPL2024007","LK306","OncoCompass® Plus血浆版UMI","/","/","路径a","/","AZRSPS2022005压力测试项目"
"210","RSPL2024008","LK292","OncoCompass® Plus血浆版","/","/","路径a","/","/"
"211","RSPL2024010","LK305","OncoScreen® ParpMatch Pro CDx组织版","/","/","路径a","/","AZRSPS2023006压力测试项目"
"212","RSPL2024010","LK298","OncoScreen® Plus CDx组织定制版","/","/","路径a","/","AZRSPS2023006压力测试项目"
"213","RSPL2024011","LK361","PD-L1(22c3)","/","/","路径a","/","/"
"214","RSPL2025014","LK305","OncoScreen® ParpMatch Pro CDx组织版","/","/","路径a","/","AZRSPS2025001压力测试项目"
"215","RSPL2025016","LK311","OncoCompass® Plus血浆版","/","/","路径a","/","/"
"216","RSPL2025019","LK291","OncoScreen® Plus组织版","/","/","路径a","/","/"
"217","RSPL2025019","LK194","燃石朗清® Pro血浆版UMI","/","/","路径a","/","/"
"218","RSPL2026001","LK291","OncoScreen® Plus组织版","/","/","路径a","/","/"
